incident_0,incident_1,incident_2,incident_3,incident_4,incident_5,incident_6,incident_7,incident_8,incident_9,incident_10,incident_11,incident_12,incident_13,incident_14,incident_15,incident_16,incident_17,incident_18,incident_19,incident_20,incident_21,incident_22,incident_23,incident_24,incident_25,incident_26,incident_27,incident_28,incident_29,incident_30,incident_31,incident_32,incident_33,incident_34,incident_35,incident_36,incident_37,incident_38,incident_39,incident_40,incident_41,incident_42,incident_43,incident_44,incident_45,incident_46,incident_47,incident_48,incident_49,incident_50,incident_51,incident_52,incident_53,incident_54,incident_55,incident_56,incident_57,incident_58,incident_59,incident_60,incident_61,incident_62,incident_63,incident_64,incident_65,incident_66,incident_67,incident_68,incident_69,incident_70,incident_71,incident_72,incident_73,incident_74,incident_75,incident_76,incident_77,incident_78,incident_79,incident_80,incident_81,incident_82,incident_83,incident_84,incident_85,incident_86,incident_87,incident_88,incident_89,incident_90,incident_91,incident_92,incident_93,incident_94,incident_95,incident_96,incident_97,incident_98,incident_99,incident_100,incident_101,incident_102,incident_103,incident_104,incident_105,incident_106,incident_107,incident_108,incident_109,incident_110,incident_111,incident_112,incident_113,incident_114,incident_115,incident_116,incident_117,incident_118,incident_119,incident_120,incident_121,incident_122,incident_123,incident_124,incident_125,incident_126,incident_127,incident_128,incident_129,incident_130,incident_131,incident_132,incident_133,incident_134,incident_135,incident_136,incident_137,incident_138,incident_139,incident_140,incident_141,incident_142,incident_143,incident_144,incident_145,incident_146,incident_147,incident_148,incident_149,incident_150,incident_151,incident_152,incident_153
3486.887800809268,3412.6893578856702,6135.851793533948,11166.198591647793,15732.707396118374,19043.93022436779,5942.343864525469,9023.655984386804,5899.500094172242,9202.818840837492,11766.227163695763,14797.88733604132,17895.12028178145,17805.890613867403,13999.48379455288,8658.989053786567,10330.508122662015,11455.395807100069,13291.266216514412,16285.40335837779,21155.265455635687,25122.77675744379,21335.976147689362,18671.08607411022,14062.68508589945,13220.768106505599,11745.358340915578,14683.14419937823,18703.28344576422,20369.20719832299,23608.507962612497,16453.439262560616,18213.183507889265,18630.214725397982,16729.91993600049,18902.158229923938,23173.149781589425,38323.85458277953,19275.312733425788,22576.12298591187,20427.667379757688,18618.12957447502,21177.410808645975,23899.88368989732,27334.629360834526,25518.141262642384,23134.32054468213,22617.129889588952,23649.61502223266,25910.813731153292,29807.844110849695,69972.04014363236,26285.811944990877,26407.027439475434,27075.22510340908,30121.612935822897,30800.756746436873,33398.48171374935,36712.455806760816,30289.077100336315,31277.078229589424,33693.69068134366,34290.383017201915,36277.37996397383,39026.10704948094,40796.22240915799,44680.66968077101,48814.09953716021,35842.62627287489,33182.85729902805,34558.15267408466,37817.26710612435,39005.351109476236,40139.4795902516,41066.794252951564,42603.21270488516,48398.211213219765,48759.91180728526,52234.31162107489,41305.58986342556,38304.62563800914,36340.51576851461,37535.28588021787,38472.69308483038,41303.048597714645,42529.54589180846,44389.35983887371,45874.231983897895,47441.05621740012,48949.688375308164,52015.83680834799,42862.51666886137,42216.0474905331,39961.20668398631,40922.92619392729,42330.54503044831,44157.336526248015,46327.16094029344,47833.00328440807,49621.557488272476,51862.011544437686,51904.76204058001,45268.70204144001,43235.34580323402,44744.0134744268,47376.38512849936,45700.299858958286,49414.71926353098,52566.6624695229,53551.911542471615,55009.36066075181,54604.237769636,47401.48645176462,47467.79367818524,50087.71140795513,49611.200324253834,51995.54849308293,55327.143528247536,55706.302828167274,58069.75418652335,59375.28237259706,52387.85939202997,53529.025309222896,53533.96187731352,53414.9784764009,56886.6734103152,64602.91252782965,63876.336326231016,51647.082483898506,54686.34268893518,57964.32979803527,55715.972474505434,58776.520242282415,64707.34186535396,67427.8836702942,56479.53803618824,58672.53974052164,66266.85476580635,70920.02242808398,57995.69860418746,58346.43293713144,62393.977244091235,60818.60474261237,64550.73001235209,67459.76840694627,66958.27817477178,71230.90475605839,66700.955474064,70661.21517255851,69647.28759516572,71762.43000979764,72702.3980330479,72950.90105832256,74338.70017792044
12693.147283216638,8310.593390532273,5356.032946447678,5231.447415160825, .243578005868,10009.466406255282,13896.370217136488,11368.668434020889,8540.06481957954,3068.670371305566,2731.7633455832556,5763.423517928812,8860.65646366894,20483.364761897075,18156.006930039563,12815.51218927325,8744.409098653836,6611.969278304221,7725.073802423221,8878.942549371453,13748.804646629349,27800.250905473462,24013.450295719038,21348.56022213989,16740.159233929124,15898.242254535271,12578.235508629323,9839.717670582382,13702.182828912155,15460.860458037496,16833.478328621684,19130.91341059029,20342.42698709204,20759.45820460076,14217.66666694442,14058.73170112809,15957.87625683609,31498.162597403923,21952.78688145546,24391.95213624333,21854.14334158938,16753.479263725007,16333.984279850125,17694.599141596656,21052.363692343228,24763.628671784296,21674.495169087804,19960.704623863545,18806.188493436814,21067.387202357444,23525.5784423584,58753.48220282582,23629.386679265466,23458.388105551072,22880.20717772389,25278.18640702705,25957.330217641025,27921.535968029748,30992.61964976627,26094.059174651127,27075.086589180424,28912.996006323003,29446.956488406067,31433.95343517798,33950.727465007796,35852.43511667585,39736.88238828887,43870.31224467807,31647.608347189696,28987.83937334286,30363.13474839947,33219.500461261465,34161.92458068039,35296.05306145575,36223.367724155716,37759.786176089314,43386.570779306676,43816.124514803116,47290.52432859275,37110.571937740366,34109.60771232395,32145.49784282942,33340.267954532676,33874.926439967494,36459.6220689188,37931.779246945574,39545.93331007786,41030.80545510205,42597.62968860427,44106.261846512316,46940.457223874844,38667.49874317618,38021.02956484791,35766.18875830112,36325.1595490644,37732.77838558542,39559.56988138512,41729.39429543055,43235.23663954518,44778.13095947663,47018.58501564184,47061.335511784164,41073.68411575482,39040.32787754883,40548.99554874161,42778.61848363647,41102.5332140954,44571.29273473513,47968.89582466001,48954.14489760873,50165.93413195596,49760.81124084016,43206.468526079436,43272.775752500056,45489.944763092244,45013.433679390946,47397.781848220046,50729.37688338465,51108.536183304386,53471.98754166046,54624.98046857091,48192.841466344784,48931.25866436001,48936.19523245063,48817.211831538014,52288.90676545231,60005.14588296676,59278.56968136813,47452.064558213315,50088.576044072295,53366.563153172385,51118.205829642546,54178.75359741953,60109.575220491075,62830.11702543132,52284.52011050305,54074.773095658755,61669.08812094346,66322.25578322109,53800.68067850227,54151.415011446246,57796.21059922835,56623.58681692718,60355.71208666691,62862.00176208339,62360.5115299089,66633.1381111955,62505.93754837881,66063.44852769563,65049.52095030284,67164.66336493475,68104.63138818501,68353.13441345967,69740.93353305756
19673.297528064806,15290.743635380442,12336.183191295848,8857.301493465207,6379.310561964251,5636.800475781558,20876.52046198466,18348.81867886906,15520.21506442771,10048.820616153736,7339.840663618442,4436.6003193411625,2950.5948763966353,27442.892869358097,25136.157174887732,19795.66243412142,15595.771309735848,13076.611661536917,11425.326088013186,7552.119350783804,9285.299681809445,34759.77901293448,30972.978403180055,28308.08832960091,23699.68734139014,22857.770361996292,19042.87789186202,16304.360053815079,14072.238327474131,11788.12281153642,11148.208405825486,26090.44151805131,26807.069370324734,26007.678566131777,20682.30905017712,19008.538122599875,14441.992049506776,25812.892674607727,28912.31498891648,29478.098133612268,26940.289338958322,21839.62526109395,19933.593787883357,17220.485927794834,18177.15851450186,29849.774669153237,26760.641166456746,25046.850621232483,21843.915786905734,20142.221436850454,19812.896168173207,51790.01376400655,28715.532676634408,27567.81086006126,25027.828512603573,23591.830111984138,22697.039453011992,24208.853693844558,25709.484264873026,28904.431208383794,27273.53735793426,26268.47851495257,26235.083707514314,27796.464544822193,28666.937068815318,30850.292477267605,34734.73974888062,38868.169605269824,34457.98038092237,31798.211407075527,31032.531389885127,31219.784578823106,30913.911322130098,31795.505374554807,31739.54170984382,33275.96016177742,38102.7803831142,38813.98187539487,42288.381689184505,39920.94397147304,36436.12749635421,34472.01762685968,32695.57113009682,31875.21055752914,32959.074382017854,35519.32239346677,35062.10729576596,36546.97944079014,38113.803674292365,39622.43583220042,41656.66682768236,41477.87077690884,40347.549348878165,38092.70854233138,35399.99378355741,35733.06250314706,37236.37304323525,37630.503666962046,39553.35749056953,40294.30494516473,42534.75900132994,42577.50949747227,43400.203899785076,40632.40729656954,42139.873935106036,40778.90260119811,39102.81733165704,40851.842959714326,43870.0051961915,44854.0377032011,45682.108117644064,45276.98522652825,44725.024808938135,42011.60775896979,43490.228880653885,43013.71779695259,43961.92561308764,46630.48625491613,47008.42898889676,49371.88034725284,50141.15445425901,47494.155723820426,46931.54278192165,46936.479350012276,46817.495949099655,50289.19088301395,55905.038688559136,55178.4624869605,46756.66737779383,48088.86016163394,51366.847270734026,49118.48994720419,52179.03771498117,56009.46802608345,58730.00983102369,51701.01952147945,52075.057213220396,59669.3722385051,62603.753126910175,54268.42000818586,53487.73821361272,55796.494716789995,57091.326146610765,59692.03528883338,60862.28587964503,60360.79564747054,64633.42222875714,62973.676878062404,64063.73264525727,63049.80506786448,65164.94748249639,66104.91550574664,66353.4185310213,67741.2176506192
23299.78611075975,26117.019480216237,28651.919944249566,30365.115456971635,31831.911619816674,35143.13444806609,20082.733135477756,22694.46723049096,24999.676014528228,26348.08163452984,27335.712847070474,29940.997906406046,34222.92538202624,18762.960085665334,20578.35447242204,17444.847045786493,20556.952095603134,22997.079734428084,24635.068550274074,27517.369751052098,31693.966688461052,1996.3897873328535,2313.598816012221,8613.787154919486,11360.021810099348,13658.911103541204,15307.51334140491,18912.963974162205,24796.096106345653,26818.297602749888,29913.205755280957,10493.268363781584,13726.137672012444,17469.945929909754,20292.074936489822,23922.49856806968,28747.630502715514,43323.41455494804,13911.102118946694,17470.041789046903,19267.398584269456,22125.711423600584,25777.26498013985,28899.443662065827,32334.189333003033,21447.542158460656,23077.737904904858,25440.06923916542,26869.452673321222,29130.651382241853,33120.35244934431,91077.28373118774,28811.132979675796,27535.41451645996,30023.066213181828,33341.45058691146,34020.594397525434,36618.31936483791,39932.29345784938,31121.33037206689,32881.12512555073,35912.446896100744,37510.22066829047,39497.217615062385,42245.944700569504,44016.06006024656,47900.50733185957,52033.93718824877,36891.62825716766,34231.85928332082,36502.9559628608,40025.79954049119,41526.44245051478,43309.053323633314,44286.63190404013,45823.050355973726,51618.04886430833,51979.749458373815,55454.14927216345,42137.84313515613,39403.38318812472,37863.34853073013,39058.11864243339,40514.29262174097,43571.95286474956,44738.078326175295,47609.19748996227,49094.06963498645,50660.893868488674,52169.52602639672,55235.67445943655,43694.76994059194,43314.80504064867,41484.03944620183,42947.25855270203,44372.1445673589,46198.936063158595,48535.69337466028,50041.53571877491,52342.6763906732,55081.84919552625,55124.59969166857,46367.459591555584,44758.17856544953,46266.84623664232,49417.984665409946,47741.899395868866,51615.00349707807,54775.19490388974,55760.443976838455,57691.347394893615,57824.07542072456,48924.31921398014,48990.62644040076,52129.31094486571,51652.799861164414,54037.148029993514,57535.675962614376,57914.83526253411,60278.28662089019,61583.8148069639,53910.69215424549,55570.624846133476,55575.5614142241,55456.57801331148,58928.272947225785,66811.44496219649,66084.86876059785,53169.91524611402,56727.94222584577,60005.92933494585,57757.572011416014,60818.119779193,66915.8742997208,69636.41610466104,58002.370798403754,60714.13927743223,68308.45430271693,72961.62196499456,59518.53136640298,59869.26569934696,64435.57678100182,62341.43750482789,66073.56277456762,69501.36794385687,68999.87771168238,73272.50429296897,68223.78823627952,72702.8147094691,71688.88713207631,73804.02954670822,74743.99756995848,74992.50059523314,76380.29971483104
15439.445503435294,18256.678872891778,20979.841308540057,24007.641007329075,25474.43717017412,28785.659998423536,12222.392528153301,15768.855096342297,18260.107447508068,19990.607184887285,21155.643612364474,23760.928671700047,27865.450932383686,2750.153881086127,8550.85079622499,9584.506438462038,13817.383528582974,16817.010499722084,18454.999315568075,21124.544569742287,25301.141507151246,19349.276442068996,15562.475832314567,12897.585758735422,7430.997442099857,8043.69880933891,12078.026855238846,15128.439803740306,21011.571935923752,22748.186841421182,25987.48760571069,10679.93894718582,13036.114210722577,13453.145428231295,17062.588450323758,20693.012081903616,25518.14401654945,40093.92806878197,13501.812418050993,17060.752088151203,15250.598082591,18950.79808879829,22602.351645337556,25332.43165708423,29104.702846836968,21020.670841455365,19060.9374032264,21423.26873748696,22852.652171642763,25113.850880563394,29103.551947665856,73954.3282245065,24794.332477997337,23518.614014781502,26006.26571150337,29324.650085233,30003.793895846975,32601.518863159454,35915.49295617092,27104.52987038843,28864.324623872268,31895.64639442229,33493.42016661201,35480.417113383926,38229.144198891045,39999.2595585681,43883.70683018111,48017.13668657032,32874.8277554892,30215.058781642358,32486.155461182338,36008.99903881273,37509.641948836324,39292.252821954855,40269.83140236167,41806.24985429527,47601.24836262987,47962.948956695356,51437.348770485,38121.04263347767,35386.58268644626,33846.54802905167,35041.31814075493,36497.49212006251,39555.15236307111,40721.277824496836,43592.396988283814,45077.26913330799,46644.093366810215,48152.72552471826,51218.87395775809,39677.96943891348,39298.00453897021,37467.23894452337,38930.458051023576,40355.34406568044,42182.135561480136,44518.89287298182,46024.73521709645,48325.87588899474,51065.04869384779,51107.79918999012,42350.659089877125,40741.37806377108,42250.04573496386,45401.18416373149,43725.09889419041,47598.20299539961,50758.39440221128,51743.643475159995,53674.54689321516,53807.2749190461,44907.51871230168,44973.8259387223,48112.51044318725,47635.999359485955,50020.347528315055,53518.87546093592,53898.034760855655,56261.48611921173,57567.01430528544,49893.89165256703,51553.824344455024,51558.760912545644,51439.77751163302,54911.472445547326,62794.64446051803,62068.06825891939,49153.11474443557,52711.14172416731,55989.128833267394,53740.771509737555,56801.31927751454,62899.073798042344,65619.61560298258,53985.5702967253,56697.33877575377,64291.653801038476,68944.8214633161,55501.73086472452,55852.4651976685,60418.77627932336,58324.63700314943,62056.76227288915,65484.5674421784,64983.07721000391,69255.7037912905,64206.98773460106,68686.01420779063,67672.08663039785,69787.22904502976,70727.19706828002,70975.70009355468,72363.49921315258
9165.11952371028,11982.352893166766,14298.485375492297,16011.680888214363,17478.477051059406,20789.69987930882,7819.961981154446,6907.849962207612,9526.86814197289,11994.647065772573,13161.124970242266,15766.41002957784,19869.49081326897,12557.134065251428,12079.598694057522,6739.103953291208,5821.423409468261,8822.491857599876,10460.480673445867,13130.025927620081,17306.62286502904,18354.06787078908,14567.267261034654,11902.37718745551,8813.928537283475,7972.011557889624,2812.054558956883,6417.505191714175,12300.637323897623,14322.838820301859,17417.74697283293,10411.447943966845,9839.279452607432,10256.31067011615,7796.616154041794,11427.039785621651,16252.171720267484,30827.95577250001,13233.321414832017,14202.218930630037,12053.763324475853,9684.825792516327,13336.379349055593,16403.984879617798,19838.730550555007,16584.837480683687,14201.016762723433,13683.826107630257,14809.253657392623,17070.452366313253,21060.153433415715,58413.256873649814,17352.50816303218,17473.72365751674,18141.921321450383,21281.25157098286,21960.395381596834,24558.120348909313,27872.09444192078,21355.77331837762,22343.774447630727,24760.38689938496,25450.021652361873,27437.01859913379,30185.745684640904,31955.861044317957,35840.30831593097,39973.738172320176,26909.32249091619,24249.553517069355,25624.848892125963,28883.963324165656,30164.989744636197,31299.11822541156,32226.43288811153,33762.85134004513,39557.84984837973,39919.55044244522,43393.95025623486,32372.286081466864,29371.321856050447,27407.211986555914,28601.982098259174,29539.38930287169,32430.11664842403,33596.242109849765,35548.99847403367,37033.87061905785,38600.694852560075,40109.32701046812,43175.47544350795,33929.21288690267,33282.7437085744,31027.902902027614,31989.622411968594,33397.24124848961,35224.03274428932,37393.857158334744,38899.69950244937,40781.19612343243,43021.65017959765,43064.40067573998,36335.39825948131,34302.04202127532,35810.7096924681,38443.08134654066,36766.99607699959,40568.74616316713,43633.3586875642,44618.60776051292,46168.99929591177,45763.87640479596,38468.18266980593,38534.48989622655,41154.407625996435,40677.89654229514,43062.244711124236,46393.83974628884,46772.99904620858,49136.45040456465,50441.97859063836,43454.55561007128,44595.7215272642,44600.658095354825,44481.674694442205,47953.3696283565,55669.60874587095,54943.03254427232,42713.77870193981,45753.038906976486,49031.026016076576,46782.66869254674,49843.21646032372,55774.038083395266,58494.57988833551,47546.234254229545,49739.235958562946,57333.55098384765,61986.71864612528,49062.394822228765,49413.12915517274,53460.673462132545,51885.30096065367,55617.4262303934,58526.46462498758,58024.97439281309,62297.60097409969,57767.651692105304,61727.91139059982,60713.98381320703,62829.12622783894,63769.0942510892,64017.59727636386,65405.396395961754
15425.58466447893,11986.233054688579,9740.327943750612,11453.52345647268,12920.319619317721,16231.542447567137,14080.427121923098,13168.315102976263,10781.058603990748,7436.489634030888,8424.120846571519,10147.301352414504,14598.557212168083,17155.830635956674,16760.583499693137,12999.56909405986,9334.128011443956,4085.487733929128,5723.47654977512,7484.113003262487,11660.709940671444,24472.71677953306,20685.916169778633,18021.02609619949,13412.62510798872,12570.708128594868,8367.844313902307,5629.326475855368,7732.700136418144,9107.755274941383,12347.056039230889,15803.379284649885,16132.035792365026,16549.067009873743,10007.275472217407,9848.340506401077,12265.324520718481,27125.382119690785,18625.25275551506,20181.560941516316,17643.752146862367,12543.088068997993,12123.593085123111,14002.047405479045,17359.811956225618,20553.237477057282,17464.10397436079,15750.31342913653,14595.7972987098,16856.996007630427,19833.02670624079,44333.96757391142,19418.995484538453,19247.99691082406,18669.815982996875,21067.795212300036,21746.93902291401,24228.984231912138,27021.973709956084,21883.66797992411,22864.69539445341,24702.604811595986,25236.56529367905,27223.562240450963,29972.289325958078,31742.404685635134,35626.851957248145,39760.281813637346,27437.217152462683,24777.448178615843,26152.743553672455,29009.109266534448,29951.53338595337,31085.661866728733,32012.976529428703,33549.394981362304,39344.39348969691,39706.09408376239,43180.49389755203,32900.180743013356,29899.216517596935,27935.106648102406,29129.876759805662,29664.53524524048,32249.23087419178,33721.38805221856,35335.54211535085,36820.41426037503,38387.23849387725,39895.8706517853,42962.01908482513,34457.10754844916,33810.63837012089,31555.797563574106,32114.768354337386,33522.387190858404,35349.17868665811,37519.00310070354,39024.845444818166,40567.73976474961,42808.19382091483,42850.94431705715,36863.2929210278,34829.93668282181,36338.6043540146,38568.22728890945,36892.14201936838,40360.90154000811,43758.50462993299,44743.75370288171,45955.54293722895,45550.42004611314,38996.07733135242,39062.38455777304,41279.55356836523,40803.04248466393,43187.39065349303,46518.98568865763,46898.14498857737,49261.596346933446,50414.5892738439,43982.45027161777,44720.86746963299,44725.80403772362,44606.820636811,48078.51557072529,55794.754688239744,55068.17848664111,43241.6733634863,45878.18484934528,49156.17195844537,46907.81463491553,49968.36240269252,55899.18402576406,58619.7258307043,48074.12891577603,49864.38190093174,57458.69692621644,62111.86458849407,49590.289483775254,49941.02381671923,53585.81940450134,52413.19562220016,56145.32089193989,58651.61056735637,58150.120335181884,62422.74691646848,58295.5463536518,61853.05733296861,60839.12975557582,62954.27217020773,63894.24019345799,64142.74321873265,65530.542338330546
22620.536720962515,19338.824661591265,17092.919550653296,14185.975684966119,13176.291258910247,14389.902478152504,21275.37917840668,20363.26715945985,18133.650210893433,14789.081240933572,12068.891916600935,8341.737552172957,10868.684793543149,24350.008904731607,23955.535556176725,20194.521150543445,16686.71961834664,11438.079340831811,8171.5876572827865,5860.504558034341,4399.126911892853,31666.895048307993,27880.09443855357,25215.204364974423,20606.803376763655,19764.886397369803,15615.773307823289,12981.918082758051,8133.422825507587,5250.539262942968,5085.473010452298,22997.55755342482,23379.964786286007,19703.65090018972,17359.86707912009,12707.328041610604,7904.408500913326,19278.622007146576,25819.431024289992,23174.07046767021,20636.261673016266,15410.255811645919,13396.010239289906,10682.902379201381,11642.887847040713,23545.74700321118,20331.271717008716,18617.481171784457,15306.332238312281,13604.909102537042,13278.625500712058,34560.18376247921,22286.16322718638,21030.49852574785,18490.516178290163,17057.559444522987,16162.768785550841,17674.583026383407,19175.213597411876,22367.118874070384,20736.22502362085,19734.20784749142,19700.813040053163,21262.19387736104,22132.666401354167,24316.021809806458,28200.46908141947,32333.898937808674,27920.668046608957,25260.899072762117,24495.219055571717,24685.513911361955,24379.640654668947,25261.234707093656,25205.27104238267,26741.689494316266,31568.50971565305,32279.71120793372,35754.11102172335,33383.631637159626,29898.815162040795,27934.705292546267,26158.25879578341,25340.939890067988,26424.803714556703,28985.05172600562,28527.836628304813,30012.708773328995,31579.533006831218,33088.165164739265,35122.396160221215,34940.55844259544,33810.23701456475,31555.396208017963,28862.681449244,29198.791835685915,30702.102375774102,31096.232999500895,33019.08682310838,33760.03427770358,36000.48833386879,36043.23883001111,36862.89156547166,34095.094962256124,35602.56160079263,34244.631933736964,32568.54666419589,34317.57229225318,37335.73452873035,38319.767035739955,39147.83745018292,38742.714559067106,38190.75414147698,35477.337091508634,36955.95821319274,36479.44712949143,37427.65494562649,40096.215587454986,40474.158321435614,42837.60967979169,43606.883786797865,40959.88505635927,40397.2721144605,40402.20868255112,40283.22528163851,43754.920215552804,49370.76802109799,48644.191819499356,40222.39671033268,41554.58949417279,44832.57660327287,42584.21927974304,45644.76704752002,49475.1973586223,52195.739163562546,45166.7488540183,45540.78654575925,53135.10157104395,56069.48245944903,47734.14934072471,46953.46754615157,49262.22404932884,50557.05547914962,53157.76462137223,54328.01521218388,53826.52498000939,58099.15156129599,56439.40621060125,57529.46197779612,56515.534400403325,58630.676815035236,59570.644838285494,59819.14786356016,61206.94698315805
18458.98688811202,21276.220257568508,23999.382693216783,25906.410351701506,27373.20651454655,30684.429342795964,15241.933912830027,18072.59160286201,20158.8767918805,21889.376529259716,22878.03425048291,25483.319309818486,29764.220276756114,13917.111353186416,15737.555249774312,12604.047823138766,15716.152872955405,18539.40113784052,20177.389953686514,23023.31391411472,27199.910851523677,15411.467367058121,11624.666757303696,8959.77668372455,6939.191701571325,9238.080995013184,10849.83474481735,14455.285377574643,20338.417509758092,22360.619006162327,25455.527158693396,3119.1865871254563,6352.055895356315,11163.696608015667,15834.396339902261,19464.81997148212,23871.808815130895,37651.72276005266,3989.9216730384956,7428.72403224215,12085.01930591897,16903.397770004,20191.97664722061,22689.336830128475,26662.497538107655,10189.733037673863,13380.94974566695,18780.173910531204,20209.557344687008,22470.756053607638,26460.4571207101,67820.65384625582,18535.71323060128,17288.5829356336,21155.775443980507,25082.491761506164,26227.195734838035,29901.38253743219,33215.35663044365,20874.109446813683,22627.25156319382,25658.573333743836,28049.968546369128,31396.06479576019,34449.127067877154,36807.87421749236,40692.32148910538,44825.75134549458,26644.407331914448,23984.63835806761,26255.735037607592,29771.92597813428,31272.56888815787,33055.1797612764,35332.96117302606,37921.6658125934,43716.664320928,44771.56361561963,48245.96342940926,31890.622209902926,29156.162262871512,27616.127605476926,28810.89771718018,30267.07169648776,33318.07930239265,34484.20476381839,38564.54968462443,40641.036652438546,42759.509325108345,44268.14148301639,47438.8568267442,33447.549015338736,33067.58411539547,31236.818520948622,32700.037627448826,34124.92364210569,35951.71513790539,38281.81981230337,39787.662156418,42088.802828316286,46788.04237102471,47223.21514828824,36120.23866630238,34510.95764019633,36019.625311389114,39170.76374015674,37494.67847061566,41367.782571824864,44521.32134153283,45506.57041448154,47437.47383253671,49560.82934884783,38677.098288726935,38743.405515147555,41882.09001961251,41405.57893591121,43789.92710474031,47281.80240025746,47660.9617001772,50024.41305853328,51329.941244606984,43663.47122899228,45323.40392088027,45328.3404889709,45209.35708805828,48681.05202197258,56557.57139983958,55830.99519824094,42922.69432086081,46480.721300592566,49758.70840969265,47510.35108616281,50570.8988539398,56662.00073736389,59382.54254230413,47755.14987315055,50466.918352179026,58061.23337746373,62714.40103974135,49271.31044114978,49622.04477409375,54188.35585574862,52094.216579574684,55826.341849314405,59254.14701860365,58752.656786429165,63025.28336771577,57976.567311026316,62455.59378421589,61441.6662068231,63556.80862145501,64496.77664470527,64745.27966997994,66133.07878957783
20823.317987776434,23640.55135723292,24523.50114003237,26236.69665275444,27703.492815599482,30531.092955948672,18104.348855425826,18566.048426273766,21185.066606039043,22219.662830312645,23207.29404285328,23653.908284571393,28105.164144324972,16779.526295782212,18599.970192370107,15466.462765734563,17479.621873534412,18868.66093021089,20506.64974605688,20990.719935419376,23774.006929200932,19286.72235700318,15499.92174724875,12835.031673669606,9801.606644167121,11419.755639880255,11179.094537187717,14098.342164753769,16612.304424607944,18621.886461429247,21180.489072597236,6577.561814021188,4030.709805413326,7889.145868645086,14288.056760336554,12395.177771828521,15288.719270307498,29068.63321522926,6363.330546875965,2692.2012465234347,4024.4137108118452,8320.308225180604,11608.887102397213,14106.247285305077,18079.407993284258,6896.519748757749,7617.862978130162,10197.084365707808,11626.46779986361,13887.66650878424,17877.3675758867,50691.966466126105,13451.644450226982,12204.514155259303,14780.081339724216,18098.465713453847,18777.609524067822,21375.3344913803,24689.308584391765,15790.040666439387,17543.18278281952,20574.50455336954,22267.23579483286,24254.232741604774,27002.959827111892,28773.075186788945,32657.522458401956,36790.95231479116,21560.338551540153,18900.569577693313,21171.666257233293,24687.857197759986,26188.500107783577,27971.110980902104,29043.647030582517,30580.065482516115,36375.063990850715,36736.76458491621,40211.16439870584,26806.553429528627,24072.093482497214,22532.058825102627,23726.828936805883,25183.002916113466,28234.010522018358,29400.135983444092,32366.21261650466,33851.084761528844,35417.908995031066,36926.54115293911,39992.68958597894,28363.480234964434,27983.515335021173,26152.749740574327,27615.968847074528,29040.854861731394,30867.64635753109,33197.751031929074,34703.593376043704,37004.734047941995,39838.864322068635,39881.61481821096,31036.169885928084,29426.888859822033,30935.55653101482,34086.69495978244,32410.609690241366,36283.713791450566,39437.25256115853,40422.50163410725,42353.40505216241,42581.09054726695,33593.029508352636,33659.33673477326,36798.02123923821,36321.51015553691,38705.85832436602,42197.73361988317,42576.8929198029,44940.344278158984,46245.87246423269,38579.402448617984,40239.33514050598,40244.2717085966,40125.288307683986,43596.98324159828,51473.50261946528,50746.92641786664,37838.62554048652,41396.65252021827,44674.63962931835,42426.28230578852,45486.8300735655,51577.931956989596,54298.47376192983,42671.08109277626,45382.84957180473,52977.16459708943,57630.33225936705,44187.24166077548,44537.975993719454,49104.28707537432,47010.147799200386,50742.273068940114,54170.078238229355,53668.588006054866,57941.21458734147,52892.49853065202,57371.5250038416,56357.5974264488,58472.739841080715,59412.70786433097,59661.21088960564,61049.01000920353
