incident_0_hospital,incident_1_hospital,incident_2_hospital,incident_3_hospital,incident_4_hospital,incident_5_hospital,incident_6_hospital,incident_7_hospital,incident_8_hospital,incident_9_hospital,incident_10_hospital,incident_11_hospital,incident_12_hospital,incident_13_hospital,incident_14_hospital,incident_15_hospital,incident_16_hospital,incident_17_hospital,incident_18_hospital,incident_19_hospital,incident_20_hospital,incident_21_hospital,incident_22_hospital,incident_23_hospital,incident_24_hospital,incident_25_hospital,incident_26_hospital,incident_27_hospital,incident_28_hospital,incident_29_hospital,incident_30_hospital,incident_31_hospital,incident_32_hospital,incident_33_hospital,incident_34_hospital,incident_35_hospital,incident_36_hospital,incident_37_hospital,incident_38_hospital,incident_39_hospital,incident_40_hospital,incident_41_hospital,incident_42_hospital,incident_43_hospital,incident_44_hospital,incident_45_hospital,incident_46_hospital,incident_47_hospital,incident_48_hospital,incident_49_hospital,incident_50_hospital,incident_51_hospital,incident_52_hospital,incident_53_hospital,incident_54_hospital,incident_55_hospital,incident_56_hospital,incident_57_hospital,incident_58_hospital,incident_59_hospital,incident_60_hospital,incident_61_hospital,incident_62_hospital,incident_63_hospital,incident_64_hospital,incident_65_hospital,incident_66_hospital,incident_67_hospital,incident_68_hospital,incident_69_hospital,incident_70_hospital,incident_71_hospital,incident_72_hospital,incident_73_hospital,incident_74_hospital,incident_75_hospital,incident_76_hospital,incident_77_hospital,incident_78_hospital,incident_79_hospital,incident_80_hospital,incident_81_hospital,incident_82_hospital,incident_83_hospital,incident_84_hospital,incident_85_hospital,incident_86_hospital,incident_87_hospital,incident_88_hospital,incident_89_hospital,incident_90_hospital,incident_91_hospital,incident_92_hospital,incident_93_hospital,incident_94_hospital,incident_95_hospital,incident_96_hospital,incident_97_hospital,incident_98_hospital,incident_99_hospital,incident_100_hospital,incident_101_hospital,incident_102_hospital,incident_103_hospital,incident_104_hospital,incident_105_hospital,incident_106_hospital,incident_107_hospital,incident_108_hospital,incident_109_hospital,incident_110_hospital,incident_111_hospital,incident_112_hospital,incident_113_hospital,incident_114_hospital,incident_115_hospital,incident_116_hospital,incident_117_hospital,incident_118_hospital,incident_119_hospital,incident_120_hospital,incident_121_hospital,incident_122_hospital,incident_123_hospital,incident_124_hospital,incident_125_hospital,incident_126_hospital,incident_127_hospital,incident_128_hospital,incident_129_hospital,incident_130_hospital,incident_131_hospital,incident_132_hospital,incident_133_hospital,incident_134_hospital,incident_135_hospital,incident_136_hospital,incident_137_hospital,incident_138_hospital,incident_139_hospital,incident_140_hospital,incident_141_hospital,incident_142_hospital,incident_143_hospital,incident_144_hospital,incident_145_hospital,incident_146_hospital,incident_147_hospital,incident_148_hospital,incident_149_hospital,incident_150_hospital,incident_151_hospital,incident_152_hospital,incident_153_hospital
5878.869284741078,5878.869284741078,8096.030788193858,8096.030788193858,17173.704894053993,17173.704894053993,9663.396026785527,9663.396026785527,6196.478900022514,8096.030788193858,8096.030788193858,17173.704894053993,17173.704894053993,20007.040117021945,14168.017727889122,14168.017727889122,6196.478900022514,11940.337731278985,11940.337731278985,21659.347724011826,21659.347724011826,21335.976147689362,21335.976147689362,20007.040117021945,14168.017727889122,14168.017727889122,13336.447855689792,11940.337731278985,19676.264204165996,19676.264204165996,19349.89004024612,15821.94308308513,15821.94308308513,20387.97657106118,20107.317828620806,18796.73933355322,23327.213395516188,27120.34411208918,15821.94308308513,17443.944199881018,17443.944199881018,20107.317828620806,22075.61497642067,23816.655573776825,29318.8063671878,21510.932220667793,21887.044225627786,21310.97831819939,23649.61502223266,26284.36958117797,29623.203414428077,29600.710748499063,27219.59148149914,27219.59148149914,27075.22510340908,29194.524590700363,30262.377995070958,32902.444718778155,35735.90471545045,29730.09808952123,30982.232903993914,31705.629031379496,34276.35230942379,37921.24927092008,39416.6574181805,41984.90150027552,42753.76596380554,42753.76596380554,35425.24535144547,31850.442664260565,32835.307894103964,33506.73183408482,39672.176123366975,39840.02183957461,38219.45429455953,45591.90631406843,47390.987641235675,42753.76596380554,47390.987641235675,42585.24831406789,37793.737950574854,37793.737950574854,36650.31874528045,41067.42008406305,41067.42008406305,44927.001596890455,42527.32572995364,45591.90631406843,45026.62786420173,47390.987641235675,47390.987641235675,42785.52055529651,41747.99428948379,41747.99428948379,41432.130418889836,40358.61981116063,43226.445835115235,47814.360340374325,46190.23825174811,46190.23825174811,55836.782600039245,55836.782600039245,41747.99428948379,41747.99428948379,45759.07100555556,46182.70877273,48103.228968426636,47814.360340374325,50212.06006460759,49442.277647035335,55836.782600039245,55836.782600039245,45759.07100555556,45759.07100555556,46182.70877273,51176.70953974917,50212.06006460759,50212.06006460759,49442.277647035335,55836.782600039245,55836.782600039245,45759.07100555556,45759.07100555556,51176.70953974917,51998.93393918213,51998.93393918213,65805.31164056475,65805.31164056475,56830.37622961364,56830.37622961364,51998.93393918213,51998.93393918213,51998.93393918213,65805.31164056475,65805.31164056475,54152.649318243566,56830.37622961364,65805.31164056475,65805.31164056475,54152.649318243566,56830.37622961364,56830.37622961364,62396.39088875142,62396.39088875142,67636.85064432907,67636.85064432907,67636.85064432907,62396.39088875142,67636.85064432907,67636.85064432907,67636.85064432907,67636.85064432907,67636.85064432907,67636.85064432907
10776.77331738768,10776.77331738768,3465.0945793905616,3465.0945793905616,8139.241075941484,8139.241075941484,13488.217482399486,13488.217482399486,6024.839369841213,3465.0945793905616,3465.0945793905616,8139.241075941484,8139.241075941484,22684.514265051617,16110.240628767791,16110.240628767791,6024.839369841213,7096.911202483138,7096.911202483138,16382.68202288273,16382.68202288273,24013.450295719038,24013.450295719038,22684.514265051617,16110.240628767791,16110.240628767791,15042.768349216194,7096.911202483138,14766.868054737864,14766.868054737864,11943.429231239783,17951.186562287905,17951.186562287905,19633.463980203094,15363.403423676793,13953.312804757374,17121.928847215524,20838.078443597882,17951.186562287905,19573.187679083792,19573.187679083792,15363.403423676793,17232.188447624823,17611.37102547616,23036.540698696506,20756.41962980971,21132.5316347697,18654.553052473984,18806.188493436814,21440.943052382125,23340.93774593678,23318.445080007765,24195.288597345858,24195.288597345858,22880.20717772389,24351.098061904515,25418.951466275113,27425.49897305855,30016.068558455907,25535.08016383604,26780.241263584918,26862.20250258365,29432.925780627946,33077.82274212423,34341.27783370735,37041.11420779338,37809.9786713234,37809.9786713234,31230.227425760277,27655.424738575377,28640.289968418772,28908.96518922193,34828.74959457113,34996.595310778765,33376.02776576368,40748.47978527258,42547.56111243983,37809.9786713234,42547.56111243983,38390.2303883827,33598.72002488966,33598.72002488966,32052.552100417564,36315.62763539414,36315.62763539414,40083.57506809461,37683.899201157794,40748.47978527258,40183.20133540588,42547.56111243983,42547.56111243983,38590.50262961132,37552.976363798596,37552.976363798596,36834.36377402695,35760.85316629774,38628.67919025235,42970.93381157848,41592.47160688522,41592.47160688522,50993.3560712434,50993.3560712434,37552.976363798596,37552.976363798596,41564.05307987037,41584.942127867114,43505.46232356375,42970.93381157848,45614.2934197447,44844.51100217245,50993.3560712434,50993.3560712434,41564.05307987037,41564.05307987037,41584.942127867114,46578.942894886284,45614.2934197447,45614.2934197447,44844.51100217245,50993.3560712434,50993.3560712434,41564.05307987037,41564.05307987037,46578.942894886284,47401.16729431924,47401.16729431924,61207.54499570186,61207.54499570186,52635.35830392846,52635.35830392846,47401.16729431924,47401.16729431924,47401.16729431924,61207.54499570186,61207.54499570186,49957.631392558375,52635.35830392846,61207.54499570186,61207.54499570186,49957.631392558375,52635.35830392846,52635.35830392846,58201.372963066235,58201.372963066235,63039.08399946618,63039.08399946618,63039.08399946618,58201.372963066235,63039.08399946618,63039.08399946618,63039.08399946618,63039.08399946618,63039.08399946618,63039.08399946618
17756.92356223585,17756.92356223585,10445.24482423873,10445.24482423873,6233.849271616961,6233.849271616961,20115.078409165893,20115.078409165893,13004.989614689383,10445.24482423873,10445.24482423873,6233.849271616961,6233.849271616961,29644.042372512635,22574.883012000486,22574.883012000486,13004.989614689383,13561.553585715834,13561.553585715834,11804.923396566845,11804.923396566845,30972.978403180055,30972.978403180055,29644.042372512635,22574.883012000486,22574.883012000486,21507.41073244889,13561.553585715834,15136.923553299841,15136.923553299841,6258.159308443586,24415.828945520603,24415.828945520603,24719.609977572032,20242.054346044937,18983.023911820823,16647.815633413702,15529.844053028226,24415.828945520603,26037.830062316487,26037.830062316487,20242.054346044937,20358.780633508246,17024.690371508277,19323.858424511312,25842.565627178647,26218.67763213864,23740.699049842922,21843.915786905734,21637.60166775904,19628.255471751585,19605.762805822575,27978.135762719216,27978.135762719216,25027.828512603573,23304.248019582268,22196.582887475957,23712.816698873357,24531.880110361653,28345.452197568706,26978.69203233875,24217.68501121322,26788.408289257513,29440.333851768446,29057.48743751487,32038.971568385132,32807.836031915154,32807.836031915154,34040.59945949294,30459.00662183926,29074.885655355236,27277.436314803123,31328.20190767018,31496.047623877817,28892.201751451783,36264.65377096068,38063.73509812792,32807.836031915154,38063.73509812792,41200.602422115364,35925.23980891992,35925.23980891992,30523.291534627027,32815.0799484932,32815.0799484932,35599.74905378271,33200.0731868459,36264.65377096068,35699.37532109398,38063.73509812792,38063.73509812792,41400.87466334399,39879.49614782885,39879.49614782885,35909.198008519954,33761.13728385938,35735.36132324946,39188.021657851124,37910.592457909566,37910.592457909566,46509.5300569315,46509.5300569315,39879.49614782885,39879.49614782885,43082.60936272907,39585.226245428756,41505.7464411254,39188.021657851124,42181.19139676712,40745.62037370393,46509.5300569315,46509.5300569315,43082.60936272907,43082.60936272907,39585.226245428756,44579.227012447926,42181.19139676712,42181.19139676712,40745.62037370393,46509.5300569315,46509.5300569315,43082.60936272907,43082.60936272907,44579.227012447926,45401.45141188088,45401.45141188088,57107.43780129423,57107.43780129423,51939.96112350897,51939.96112350897,45401.45141188088,45401.45141188088,45401.45141188088,57107.43780129423,57107.43780129423,50425.37072224196,51939.96112350897,57107.43780129423,57107.43780129423,50425.37072224196,51939.96112350897,51939.96112350897,58669.11229274982,58669.11229274982,61039.36811702782,61039.36811702782,61039.36811702782,58669.11229274982,61039.36811702782,61039.36811702782,61039.36811702782,61039.36811702782,61039.36811702782,61039.36811702782
28583.199407071643,28583.199407071643,26582.615694804743,26582.615694804743,33272.90911775229,33272.90911775229,15891.713177024245,15891.713177024245,24381.652217906292,26582.615694804743,26582.615694804743,33272.90911775229,33272.90911775229,3642.5348466796413,14626.270633211589,14626.270633211589,24381.652217906292,21812.641833460697,21812.641833460697,30431.152548419825,30431.152548419825,2313.598816012221,2313.598816012221,3642.5348466796413,14626.270633211589,14626.270633211589,14553.598555602224,21812.641833460697,25163.716909477487,25163.716909477487,30693.69237400578,14661.674287596901,14661.674287596901,21429.40323035936,23614.899677746365,23796.299305721728,28326.7733676847,32119.90408425769,14661.674287596901,16283.675404392789,16283.675404392789,23614.899677746365,25295.452627509232,28589.575667671485,32631.314705682416,21454.349580890525,21830.461585850517,24133.91766777586,26869.452673321222,29504.20723226653,32935.71175292269,34600.27072066757,28421.7773449649,28421.7773449649,30023.066213181828,32414.362241788924,33482.21564615952,36122.28236986671,38955.742366539016,31072.805337458747,32586.279799955217,34925.46668246806,37348.915234502885,41141.08692200864,42636.495069269055,45204.73915136408,45973.603614894106,45973.603614894106,36474.24733573823,33534.5308619662,34682.47342297171,35715.26426845166,42443.53890919339,42907.44577573666,41439.291945648096,48811.74396515699,50610.82529232423,45973.603614894106,50610.82529232423,43417.501585798454,38892.49550069043,38892.49550069043,38688.878619781,43109.01962097363,43109.01962097363,48146.83924797902,45747.1633810422,48811.74396515699,48246.465515290285,50610.82529232423,50610.82529232423,43617.773827027086,42846.75183959936,42846.75183959936,43456.46277766458,42400.21934807121,45268.045372025816,50093.21136554936,48398.77068611495,48398.77068611495,59056.62025112781,59056.62025112781,42846.75183959936,42846.75183959936,47281.90376777108,48224.30830964058,50144.828505337224,50093.21136554936,52253.65960151817,51650.81008140217,59056.62025112781,59056.62025112781,47281.90376777108,47281.90376777108,48224.30830964058,53218.30907665975,52253.65960151817,52253.65960151817,51650.81008140217,59056.62025112781,59056.62025112781,47281.90376777108,47281.90376777108,53218.30907665975,54040.533476092714,54040.533476092714,68013.84407493158,68013.84407493158,58353.20899182916,58353.20899182916,54040.533476092714,54040.533476092714,54040.533476092714,68013.84407493158,68013.84407493158,55675.482080459085,58353.20899182916,68013.84407493158,68013.84407493158,55675.482080459085,58353.20899182916,58353.20899182916,63919.22365096694,63919.22365096694,69678.45018123965,69678.45018123965,69678.45018123965,63919.22365096694,69678.45018123965,69678.45018123965,69678.45018123965,69678.45018123965,69678.45018123965,69678.45018123965
20722.858799747188,20722.858799747188,19843.047127784583,19843.047127784583,26915.434668109738,26915.434668109738,9152.144610004085,9152.144610004085,17642.083650886132,19843.047127784583,19843.047127784583,26915.434668109738,26915.434668109738,14233.539801647148,10136.633180255729,10136.633180255729,17642.083650886132,15632.572598754696,15632.572598754696,24038.327367110018,24038.327367110018,15562.475832314567,15562.475832314567,14233.539801647148,10136.633180255729,10136.633180255729,11921.190220894334,15632.572598754696,21934.230423311423,21934.230423311423,24513.62313929978,10644.873785918444,10644.873785918444,17412.602728680904,20439.986342944074,20566.812819555664,24980.962847251605,28890.417598091626,10644.873785918444,12266.87490271433,12266.87490271433,20439.986342944074,21278.652125830773,24838.50050169161,28614.514204003957,17437.549079212065,17813.661084172058,20117.1171660974,22852.652171642763,25487.406730588074,28918.911251244233,31370.78423450151,24404.97684328644,24404.97684328644,26006.26571150337,28397.561740110465,29465.415144481063,32105.481868188257,34938.94186486056,27056.004835780288,28569.479298276758,30908.666180789598,33332.114732824426,37124.28642033018,38619.694567590595,41187.938649685624,41956.80311321565,41956.80311321565,32457.446834059774,29517.73036028774,30665.672921293244,31698.4637667732,38426.73840751493,38890.6452740582,37422.49144396964,44794.94346347853,46594.02479064577,41956.80311321565,46594.02479064577,39400.701084119995,34875.69499901197,34875.69499901197,34672.07811810254,39092.21911929517,39092.21911929517,44130.03874630056,41730.36287936375,44794.94346347853,44229.66501361183,46594.02479064577,46594.02479064577,39600.97332534863,38829.9513379209,38829.9513379209,39439.66227598612,38383.41884639276,41251.24487034736,46076.41086387091,44381.97018443649,44381.97018443649,55039.81974944935,55039.81974944935,38829.9513379209,38829.9513379209,43265.10326609262,44207.50780796212,46128.028003658765,46076.41086387091,48236.85909983971,47634.00957972371,55039.81974944935,55039.81974944935,43265.10326609262,43265.10326609262,44207.50780796212,49201.5085749813,48236.85909983971,48236.85909983971,47634.00957972371,55039.81974944935,55039.81974944935,43265.10326609262,43265.10326609262,49201.5085749813,50023.732974414255,50023.732974414255,63997.04357325312,63997.04357325312,54336.4084901507,54336.4084901507,50023.732974414255,50023.732974414255,50023.732974414255,63997.04357325312,63997.04357325312,51658.681578780626,54336.4084901507,63997.04357325312,63997.04357325312,51658.681578780626,54336.4084901507,54336.4084901507,59902.42314928848,59902.42314928848,65661.64967956119,65661.64967956119,65661.64967956119,59902.42314928848,65661.64967956119,65661.64967956119,65661.64967956119,65661.64967956119,65661.64967956119,65661.64967956119
14448.532820022174,14448.532820022174,11847.08700866987,11847.08700866987,18919.474548995022,18919.474548995022,1516.639543411159,1516.639543411159,9646.12353177142,11847.08700866987,11847.08700866987,18919.474548995022,18919.474548995022,13238.331230367236,5234.713945930426,5234.713945930426,9646.12353177142,7638.05395663249,7638.05395663249,16043.808724987812,16043.808724987812,14567.267261034654,14567.267261034654,13238.331230367236,5234.713945930426,5234.713945930426,4403.144073731096,7638.05395663249,12668.258127029458,12668.258127029458,16519.104497177574,7448.039027803297,7448.039027803297,11454.672789102486,11174.014046662109,11300.840523273702,15831.314585236669,19624.44530180966,7448.039027803297,9070.040144599183,9070.040144599183,11174.014046662109,13235.253611580632,16148.690036587228,20571.115689753817,12577.628438709098,12953.74044366909,12377.674536240696,14809.253657392623,17444.008216337934,20875.512736994093,22104.811938219544,18286.287699540448,18286.287699540448,18141.921321450383,20354.163225860324,21422.016630230923,24062.083353938116,26895.543350610416,20796.794307562534,22048.929122035217,22865.267666539457,25435.990944583755,29080.88790608004,30576.296053340455,33144.54013543548,33913.404598965506,33913.404598965506,26491.94156948677,22917.13888230187,23902.004112145267,24573.428052126124,30831.814758526936,30999.66047473457,29379.092929719493,36751.54494922839,38550.62627639563,33913.404598965506,38550.62627639563,33651.94453210919,28860.434168616157,28860.434168616157,27717.014963321755,32134.116302104354,32134.116302104354,36086.64023205042,33686.96436511361,36751.54494922839,36186.26649936169,38550.62627639563,38550.62627639563,33852.216773337816,32814.69050752509,32814.69050752509,32498.82663693114,31425.31602920193,34293.14205315654,38951.37514922383,37256.93446978941,37256.93446978941,46996.42123519921,46996.42123519921,32814.69050752509,32814.69050752509,36825.767223596864,37249.404990771305,39169.925186467946,38951.37514922383,41278.756282648894,40508.97386507664,46996.42123519921,46996.42123519921,36825.767223596864,36825.767223596864,37249.404990771305,42243.405757790475,41278.756282648894,41278.756282648894,40508.97386507664,46996.42123519921,46996.42123519921,36825.767223596864,36825.767223596864,42243.405757790475,43065.63015722344,43065.63015722344,56872.00785860605,56872.00785860605,47897.07244765495,47897.07244765495,43065.63015722344,43065.63015722344,43065.63015722344,56872.00785860605,56872.00785860605,45219.34553628487,47897.07244765495,56872.00785860605,56872.00785860605,45219.34553628487,47897.07244765495,47897.07244765495,53463.08710679273,53463.08710679273,58703.54686237037,58703.54686237037,58703.54686237037,53463.08710679273,58703.54686237037,58703.54686237037,58703.54686237037,58703.54686237037,58703.54686237037,58703.54686237037
14452.412981543986,14452.412981543986,7849.389576693496,7849.389576693496,14361.317117253338,14361.317117253338,9484.811987052697,9484.811987052697,8265.833154252421,7849.389576693496,7849.389576693496,14361.317117253338,14361.317117253338,19356.980139111212,11899.849434040776,11899.849434040776,8265.833154252421,2901.0498329617417,2901.0498329617417,10397.895800630216,10397.895800630216,20685.916169778633,20685.916169778633,19356.980139111212,11899.849434040776,11899.849434040776,10832.37715448918,2901.0498329617417,8812.030976500502,8812.030976500502,10899.995820014237,13740.795367560891,13740.795367560891,15423.072785476079,11153.012228949778,9742.921610030358,13429.377111097914,16842.333498111282,13740.795367560891,15362.796484356777,15362.796484356777,11153.012228949778,13021.797252897808,13918.819289358551,19343.988962578893,16546.02843508269,16922.140440042687,14444.161857746967,14595.7972987098,17230.551857655108,19648.38600981917,19625.893343890155,19984.89740261884,19984.89740261884,18669.815982996875,20140.7068671775,21208.560271548096,23732.94723694094,25844.36955544471,21324.688969109025,22569.8500688579,22651.811307856635,25222.53458590093,28867.431547397216,30362.839694657632,32931.083776752654,33699.94824028268,33699.94824028268,27019.83623103326,23445.03354384836,24429.898773691755,24698.573994494916,30618.35839984411,30786.204116051747,29165.63657103667,36538.088590545565,38337.16991771281,33699.94824028268,38337.16991771281,34179.83919365568,29388.32883016265,29388.32883016265,27842.160905690547,32105.236440667126,32105.236440667126,35873.18387336759,33473.50800643078,36538.088590545565,35972.81014067886,38337.16991771281,38337.16991771281,34380.11143488431,33342.58516907158,33342.58516907158,32623.97257929993,31550.461971570723,34418.28799552533,38760.54261685146,37382.080412158204,37382.080412158204,46782.96487651639,46782.96487651639,33342.58516907158,33342.58516907158,37353.66188514336,37374.5509331401,39295.07112883674,38760.54261685146,41403.902225017686,40634.11980744543,46782.96487651639,46782.96487651639,37353.66188514336,37353.66188514336,37374.5509331401,42368.55170015927,41403.902225017686,41403.902225017686,40634.11980744543,46782.96487651639,46782.96487651639,37353.66188514336,37353.66188514336,42368.55170015927,43190.77609959223,43190.77609959223,56997.15380097484,56997.15380097484,48424.96710920144,48424.96710920144,43190.77609959223,43190.77609959223,43190.77609959223,56997.15380097484,56997.15380097484,45747.24019783136,48424.96710920144,56997.15380097484,56997.15380097484,45747.24019783136,48424.96710920144,48424.96710920144,53990.98176833922,53990.98176833922,58828.69280473916,58828.69280473916,58828.69280473916,53990.98176833922,58828.69280473916,58828.69280473916,58828.69280473916,58828.69280473916,58828.69280473916,58828.69280473916
21805.00458844667,21805.00458844667,15201.981183596181,15201.981183596181,13348.69689323644,13348.69689323644,16679.764043536285,16679.764043536285,15618.424761155105,15201.981183596181,15201.981183596181,13348.69689323644,13348.69689323644,26551.15840788615,19147.77842796176,19147.77842796176,15618.424761155105,10253.641439864427,10253.641439864427,3136.312771851626,3136.312771851626,27880.09443855357,27880.09443855357,26551.15840788615,19147.77842796176,19147.77842796176,18080.30614841016,10253.641439864427,9198.108051333296,9198.108051333296,5555.624062645507,20988.724361481873,20988.724361481873,18415.582311629976,13704.470797451484,12681.813830831554,10110.23208482025,8995.573385567075,20988.724361481873,22610.72547827776,22610.72547827776,13704.470797451484,13821.197084914797,10487.106822914826,12789.587757050162,19538.53796123659,19794.132090807358,17311.329600394893,15306.332238312281,15100.28933344563,13093.984804290436,13071.492138361424,21440.823428405805,21440.823428405805,18490.516178290163,16769.977352121117,15662.312220014808,17178.546031412207,17997.609442900506,21808.139863255295,20441.37969802534,17683.41434375207,20254.137621796363,22906.063184307295,22523.216770053717,25504.70090092398,26273.565364454003,26273.565364454003,27503.287125179533,23921.69428752585,22537.573321041826,20743.16564734197,24793.93124020903,24961.776956416667,22357.931083990636,29730.38310349953,31529.464430666776,26273.565364454003,31529.464430666776,34663.29008780195,29387.927474606506,29387.927474606506,23989.020867165877,26280.809281032045,26280.809281032045,29065.478386321556,26665.802519384742,29730.38310349953,29165.10465363283,31529.464430666776,31529.464430666776,34863.56232903058,33342.18381351544,33342.18381351544,29371.885674206544,27226.86661639823,29201.09065578831,32653.750990389977,31376.321790448415,31376.321790448415,39975.25938947035,39975.25938947035,33342.18381351544,33342.18381351544,36548.33869526792,33050.95557796761,34971.47577366424,32653.750990389977,35646.920729305966,34211.349706242785,39975.25938947035,39975.25938947035,36548.33869526792,36548.33869526792,33050.95557796761,38044.95634498678,35646.920729305966,35646.920729305966,34211.349706242785,39975.25938947035,39975.25938947035,36548.33869526792,36548.33869526792,38044.95634498678,38867.18074441973,38867.18074441973,50573.16713383308,50573.16713383308,45405.69045604782,45405.69045604782,38867.18074441973,38867.18074441973,38867.18074441973,50573.16713383308,50573.16713383308,43891.100054780814,45405.69045604782,50573.16713383308,50573.16713383308,43891.100054780814,45405.69045604782,45405.69045604782,52134.841625288675,52134.841625288675,54505.097449566674,54505.097449566674,54505.097449566674,52134.841625288675,54505.097449566674,54505.097449566674,54505.097449566674,54505.097449566674,54505.097449566674,54505.097449566674
23742.400184423914,23742.400184423914,21741.816472157014,21741.816472157014,28814.20401248217,28814.20401248217,11050.913954376516,11050.913954376516,19540.852995258563,21741.816472157014,21741.816472157014,28814.20401248217,28814.20401248217,10295.730726636275,10168.592036624026,10168.592036624026,19540.852995258563,17354.963236873136,17354.963236873136,25937.09671148245,25937.09671148245,11624.666757303696,11624.666757303696,10295.730726636275,10168.592036624026,10168.592036624026,10095.919959014664,17354.963236873136,20706.038312889923,20706.038312889923,26236.01377741822,7717.48646661118,7717.48646661118,14874.91198015677,18097.72203723958,19338.620709134168,22337.86802029585,26448.21228936231,7717.48646661118,9384.080939686002,9384.080939686002,18097.72203723958,18635.557298875017,22195.405674735855,25971.4193770482,13083.487735585602,12295.45358547032,17474.022339141644,20209.557344687008,22206.923798972573,26275.816424288478,28928.57892577219,18167.903782607988,18167.903782607988,21155.775443980507,24155.40341638363,25688.81698347212,29405.345542460993,32238.805539133293,20825.584412205542,22332.40623759831,25651.682690863232,27095.041672145977,31943.6720553339,34839.67743657671,37996.55330860989,38765.41777213991,38765.41777213991,26227.026410485025,23287.309936712994,24428.599860614795,25461.39070609475,32189.66534683648,32653.572213379754,33537.90740226777,40358.71098260908,42709.4407489439,38765.41777213991,42709.4407489439,33170.28066054525,28645.274575437223,28645.274575437223,28441.65769452779,32861.79869572043,32861.79869572043,38139.9995193911,36702.51557570436,40358.71098260908,40345.080971909956,42709.4407489439,42709.4407489439,33370.55290177388,32599.530914346156,32599.530914346156,33209.241852411375,32152.998422818007,35020.82444677261,39839.33780319245,38144.89712375804,38144.89712375804,49629.27426858175,49629.27426858175,32599.530914346156,32599.530914346156,37034.682842517876,37977.08738438738,39897.60758008402,39839.33780319245,42006.43867626497,41396.93651904526,49629.27426858175,49629.27426858175,37034.682842517876,37034.682842517876,37977.08738438738,42971.08815140655,42006.43867626497,42006.43867626497,41396.93651904526,49629.27426858175,49629.27426858175,37034.682842517876,37034.682842517876,42971.08815140655,43793.31255083951,43793.31255083951,57759.97051257467,57759.97051257467,48105.988066575956,48105.988066575956,43793.31255083951,43793.31255083951,43793.31255083951,57759.97051257467,57759.97051257467,45428.26115520588,48105.988066575956,57759.97051257467,57759.97051257467,45428.26115520588,48105.988066575956,48105.988066575956,53672.00272571373,53672.00272571373,59431.22925598645,59431.22925598645,59431.22925598645,53672.00272571373,59431.22925598645,59431.22925598645,59431.22925598645,59431.22925598645,59431.22925598645,59431.22925598645
26106.731284088328,26106.731284088328,22632.562772975256,22632.562772975256,28660.867625634874,28660.867625634874,13174.838007477312,13174.838007477312,21304.32199583757,22632.562772975256,22632.562772975256,28660.867625634874,28660.867625634874,14170.98571658133,10497.851828994393,10497.851828994393,21304.32199583757,17684.2230292435,17684.2230292435,22511.192789159704,22511.192789159704,15499.92174724875,15499.92174724875,14170.98571658133,10497.851828994393,10497.851828994393,9951.029093292836,17684.2230292435,13636.396113236326,13636.396113236326,24406.602752171126,5361.817879232344,5361.817879232344,6186.418356901749,9514.63249241618,11365.07391285191,13754.77847547245,17865.122744538912,5361.817879232344,6673.130510690169,6673.130510690169,9514.63249241618,10052.46775405162,13612.316129912457,17388.329832224805,5994.4746541158265,6370.58665907582,8890.932794318245,11626.46779986361,14261.22235880892,17692.72687946508,20345.489380948795,13083.835002233693,13083.835002233693,14780.081339724216,17171.377368331312,18239.230772701907,20879.297496409104,23712.7574930814,15741.515631831244,17248.33745722401,19682.481809010445,22010.97289177168,25898.102048551027,27393.510195811443,29961.754277906468,30730.61874143649,30730.61874143649,21142.95763011073,18203.241156338696,19344.531080240497,20377.32192572045,27105.596566462184,27569.50343300546,26196.30707219048,33568.75909169938,35367.840418866625,30730.61874143649,35367.840418866625,28086.211880170955,23561.205795062924,23561.205795062924,23357.588914153494,27777.72991534613,27777.72991534613,32903.854374521405,30504.17850758459,33568.75909169938,33003.48064183268,35367.840418866625,35367.840418866625,28286.484121399582,27515.462133971858,27515.462133971858,28125.173072037076,27068.92964244371,29936.755666398316,34755.26902281815,33060.82834338374,33060.82834338374,43813.635377670194,43813.635377670194,27515.462133971858,27515.462133971858,31950.614062143577,32893.01860401309,34813.53879970972,34755.26902281815,36922.36989589067,36312.86773867096,43813.635377670194,43813.635377670194,31950.614062143577,31950.614062143577,32893.01860401309,37887.01937103226,36922.36989589067,36922.36989589067,36312.86773867096,43813.635377670194,43813.635377670194,31950.614062143577,31950.614062143577,37887.01937103226,38709.24377046521,38709.24377046521,52675.90173220037,52675.90173220037,43021.919286201664,43021.919286201664,38709.24377046521,38709.24377046521,38709.24377046521,52675.90173220037,52675.90173220037,40344.19237483158,43021.919286201664,52675.90173220037,52675.90173220037,40344.19237483158,43021.919286201664,43021.919286201664,48587.93394533944,48587.93394533944,54347.16047561215,54347.16047561215,54347.16047561215,48587.93394533944,54347.16047561215,54347.16047561215,54347.16047561215,54347.16047561215,54347.16047561215,54347.16047561215
